date,1. open,2. high,3. low,4. close,5. volume
2023-12-01 19:00:00,238.94,239.49,238.85,239.35,124375.0
2023-12-01 18:00:00,238.93,239.09,234.65,238.94,44603.0
2023-12-01 17:00:00,238.93,252.721,231.722,238.925,108199.0
2023-12-01 16:00:00,238.74,239.55,238.44,238.92,3287179.0
2023-12-01 15:00:00,238.62,239.08,232.13,238.77,11956060.0
2023-12-01 14:00:00,237.23,238.77,236.617,238.64,10695976.0
2023-12-01 13:00:00,238.701,239.73,237.2,237.227,11402730.0
2023-12-01 12:00:00,237.33,240.19,237.174,238.715,16229005.0
2023-12-01 11:00:00,234.99,237.99,234.38,237.34,20791954.0
2023-12-01 10:00:00,234.66,236.33,232.33,234.975,23352002.0
2023-12-01 09:00:00,234.31,244.94,231.9,234.68,22919487.0
2023-12-01 08:00:00,234.57,240.08,234.11,234.33,795549.0
2023-12-01 07:00:00,237.0,237.1,234.18,234.6,469690.0
2023-12-01 06:00:00,237.88,237.96,236.68,237.06,98906.0
2023-12-01 05:00:00,238.24,238.45,237.55,237.92,79779.0
2023-12-01 04:00:00,236.5,239.55,235.0,238.24,263566.0
2023-11-30 19:00:00,235.13,235.48,234.8,235.1,306757.0
2023-11-30 18:00:00,235.95,236.03,234.7,235.142,354720.0
2023-11-30 17:00:00,234.35,243.154,223.419,235.86,948984.0
2023-11-30 16:00:00,240.1,240.828,232.32,234.4,9194551.0
2023-11-30 15:00:00,241.02,241.85,236.91,240.05,21280453.0
2023-11-30 14:00:00,239.04,241.43,239.01,241.04,11884694.0
2023-11-30 13:00:00,241.395,241.54,238.23,239.055,13107219.0
2023-11-30 12:00:00,239.73,241.6,239.095,241.38,13324901.0
2023-11-30 11:00:00,241.86,242.24,239.11,239.716,17198629.0
2023-11-30 10:00:00,242.25,244.55,240.25,241.882,25781558.0
2023-11-30 09:00:00,245.045,252.315,239.51,242.275,20456426.0
2023-11-30 08:00:00,245.75,246.88,244.14,245.05,872653.0
2023-11-30 07:00:00,245.54,246.88,245.42,246.79,291183.0
2023-11-30 06:00:00,245.65,245.78,245.3,245.52,67184.0
2023-11-30 05:00:00,245.78,246.0,245.3,245.68,60271.0
2023-11-30 04:00:00,245.0,246.7,245.0,245.76,140486.0
2023-11-29 19:00:00,244.79,245.3,244.4,245.3,193005.0
2023-11-29 18:00:00,245.05,245.09,244.51,244.79,155531.0
2023-11-29 17:00:00,244.002,258.042,233.509,245.025,285772.0
2023-11-29 16:00:00,244.17,248.073,243.74,244.05,3195382.0
2023-11-29 15:00:00,245.44,249.998,242.76,244.15,16789288.0
2023-11-29 14:00:00,247.07,247.5,244.29,245.432,14341827.0
2023-11-29 13:00:00,248.48,248.79,245.76,247.07,12167008.0
2023-11-29 12:00:00,248.12,249.06,247.53,248.46,12317780.0
2023-11-29 11:00:00,249.27,249.58,245.36,248.12,19872064.0
2023-11-29 10:00:00,252.13,252.75,247.36,249.27,29709654.0
2023-11-29 09:00:00,249.67,252.62,234.87,252.12,25278550.0
2023-11-29 08:00:00,250.09,250.45,246.72,249.65,1215513.0
2023-11-29 07:00:00,250.13,250.34,249.53,249.98,456787.0
2023-11-29 06:00:00,249.5,250.25,249.43,250.14,124031.0
2023-11-29 05:00:00,249.78,249.88,249.0,249.46,118691.0
2023-11-29 04:00:00,248.95,250.22,248.7,249.76,338568.0
2023-11-28 19:00:00,248.85,249.5,248.7,249.33,417182.0
2023-11-28 18:00:00,247.9,248.98,247.74,248.88,355589.0
2023-11-28 17:00:00,247.65,255.717,246.72,247.975,315131.0
2023-11-28 16:00:00,246.74,248.35,246.72,247.65,4510878.0
2023-11-28 15:00:00,245.75,247.0,240.68,246.721,16728486.0
2023-11-28 14:00:00,245.174,246.23,238.98,245.736,14961930.0
2023-11-28 13:00:00,243.31,245.42,241.62,245.13,18696245.0
2023-11-28 12:00:00,241.95,243.36,241.318,243.28,17448494.0
2023-11-28 11:00:00,237.6,242.72,237.21,241.96,30482413.0
2023-11-28 10:00:00,235.405,237.68,234.01,237.588,23749790.0
2023-11-28 09:00:00,236.26,239.19,234.31,235.41,20768566.0
2023-11-28 08:00:00,237.19,237.48,232.32,236.19,1326177.0
2023-11-28 07:00:00,236.8,237.5,236.15,236.3,178927.0
2023-11-28 06:00:00,237.05,237.22,236.65,236.74,56613.0
2023-11-28 05:00:00,236.94,237.1,236.45,237.06,43005.0
2023-11-28 04:00:00,234.62,237.1,234.62,236.93,108189.0
2023-11-27 19:00:00,236.19,236.25,235.93,236.2,124880.0
2023-11-27 18:00:00,236.235,236.29,236.02,236.17,53468.0
2023-11-27 17:00:00,236.11,240.879,230.596,236.28,100977.0
2023-11-27 16:00:00,236.08,236.2,235.615,236.11,3697375.0
2023-11-27 15:00:00,236.23,237.179,235.75,236.11,11987343.0
2023-11-27 14:00:00,237.29,237.95,235.72,236.25,11685222.0
2023-11-27 13:00:00,237.46,238.33,233.982,237.271,12738639.0
2023-11-27 12:00:00,235.345,237.75,235.1,237.466,14250180.0
2023-11-27 11:00:00,235.365,235.49,233.57,235.35,13681099.0
2023-11-27 10:00:00,234.17,236.345,233.0,235.39,22978884.0
2023-11-27 09:00:00,236.7,237.8,232.1,234.14,20850616.0
2023-11-27 08:00:00,235.63,238.17,233.21,236.69,880529.0
2023-11-27 07:00:00,235.48,236.92,235.41,236.6,288377.0
2023-11-27 06:00:00,236.19,236.2,235.13,235.47,70256.0
2023-11-27 05:00:00,235.33,236.22,235.2,236.2,50448.0
2023-11-27 04:00:00,235.49,237.02,234.14,235.21,141604.0
2023-11-24 16:00:00,235.6,235.7,235.45,235.7,116928.0
2023-11-24 15:00:00,235.559,235.64,235.3,235.62,65040.0
2023-11-24 14:00:00,235.31,245.326,228.622,235.57,94799.0
2023-11-24 13:00:00,235.51,235.7,235.03,235.35,2434300.0
2023-11-24 12:00:00,237.15,237.6,235.43,235.51,12355475.0
2023-11-24 11:00:00,238.118,238.75,237.02,237.15,13716397.0
2023-11-24 10:00:00,236.0,238.17,234.69,238.102,19751018.0
2023-11-24 09:00:00,233.69,242.435,231.735,236.01,16553145.0
2023-11-24 08:00:00,232.88,234.68,231.512,233.7,514234.0
2023-11-24 07:00:00,232.23,232.94,231.95,232.88,174260.0
2023-11-24 06:00:00,232.35,232.5,231.75,232.19,49551.0
2023-11-24 05:00:00,232.62,232.62,231.45,232.36,132720.0
2023-11-24 04:00:00,232.61,233.99,232.0,232.6,94873.0
2023-11-22 19:00:00,233.54,233.9,233.52,233.7,100041.0
2023-11-22 18:00:00,233.45,233.77,233.4,233.53,88526.0
2023-11-22 17:00:00,233.87,241.112,217.451,233.451,108002.0
2023-11-22 16:00:00,234.23,234.3,232.083,233.85,3645133.0
2023-11-22 15:00:00,232.92,234.5,232.37,234.21,12180229.0
2023-11-22 14:00:00,234.015,234.821,231.4,232.91,11591634.0
2023-11-22 13:00:00,232.588,234.55,232.15,234.01,10884241.0
2023-11-22 12:00:00,232.98,233.75,231.57,232.57,12200119.0
2023-11-22 11:00:00,232.39,233.5,231.464,232.968,16891512.0
2023-11-22 10:00:00,236.73,236.87,232.32,232.379,27758652.0
2023-11-22 09:00:00,242.87,244.01,234.995,236.745,22822657.0
2023-11-22 08:00:00,243.007,243.46,240.11,242.8,701854.0
2023-11-22 07:00:00,243.21,243.45,242.51,242.74,338583.0
2023-11-22 06:00:00,242.91,243.32,242.61,243.21,106389.0
2023-11-22 05:00:00,241.25,243.36,241.24,242.99,165000.0
2023-11-22 04:00:00,240.2,241.54,240.1,241.32,89116.0
2023-11-21 19:00:00,240.2,240.59,239.5,239.79,191823.0
2023-11-21 18:00:00,240.56,240.7,239.9,240.1,136552.0
2023-11-21 17:00:00,240.1,249.164,228.123,240.57,217550.0
2023-11-21 16:00:00,241.25,241.32,239.09,240.1,3450470.0
2023-11-21 15:00:00,241.44,242.23,240.822,241.24,11585447.0
2023-11-21 14:00:00,240.81,242.04,240.49,241.435,10811383.0
2023-11-21 13:00:00,241.968,242.14,239.86,240.81,11265690.0
2023-11-21 12:00:00,242.6,242.86,241.02,241.955,11720135.0
2023-11-21 11:00:00,241.12,242.96,240.4,242.57,16926883.0
2023-11-21 10:00:00,241.28,243.62,239.27,241.1,30107237.0
2023-11-21 09:00:00,234.75,242.0,231.61,241.29,25425185.0
2023-11-21 08:00:00,236.59,237.944,234.76,234.79,955633.0
2023-11-21 07:00:00,236.57,237.58,235.93,236.52,320494.0
2023-11-21 06:00:00,237.22,237.32,236.43,236.57,83276.0
2023-11-21 05:00:00,237.38,237.83,236.92,237.18,85896.0
2023-11-21 04:00:00,235.9,237.98,235.9,237.46,200056.0
2023-11-20 19:00:00,235.619,236.3,235.5,236.0,198655.0
2023-11-20 18:00:00,235.32,235.72,235.23,235.61,64916.0
2023-11-20 17:00:00,235.69,304.044,168.462,235.321,126693.0
2023-11-20 16:00:00,235.73,236.09,221.0,235.68,4193516.0
2023-11-20 15:00:00,235.25,237.1,234.864,235.715,15449362.0
2023-11-20 14:00:00,233.922,235.54,233.915,235.24,10901846.0
2023-11-20 13:00:00,233.0,234.56,232.82,233.93,11269612.0
2023-11-20 12:00:00,234.18,234.82,232.6,233.0,11682272.0
2023-11-20 11:00:00,233.27,235.2,232.664,234.18,15972113.0
2023-11-20 10:00:00,234.36,235.08,231.83,233.24,25454559.0
2023-11-20 09:00:00,235.62,236.53,226.925,234.341,21599875.0
2023-11-20 08:00:00,235.82,236.7,233.0,235.62,708341.0
2023-11-20 07:00:00,236.0,236.7,234.48,234.67,277813.0
2023-11-20 06:00:00,236.29,236.29,235.43,236.04,79925.0
2023-11-20 05:00:00,235.69,236.38,235.32,236.3,82035.0
2023-11-20 04:00:00,234.32,235.96,233.56,235.68,174306.0
2023-11-17 19:00:00,233.8,234.28,233.72,233.99,167234.0
2023-11-17 18:00:00,233.7,233.99,233.55,233.79,84344.0
2023-11-17 17:00:00,233.82,246.142,222.477,233.67,373968.0
