CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1318605,"Tesla, Inc.",8-K,2023-01-03,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-000002.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-000002-index.html,2023-01-03,2023-01-02,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459023000002/tsla-8k_20230102.htm,DE,CA,1231,1318605_8K_2023_0001564590-23-000002.htm
1318605,"Tesla, Inc.",8-K,2023-01-25,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-000799.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-000799-index.html,2023-01-25,2023-01-20,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459023000799/tsla-8k_20230120.htm,DE,CA,1231,1318605_8K_2023_0001564590-23-000799.htm
1318605,"Tesla, Inc.",10-Q,2023-04-24,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-013890.txt,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-013890-index.html,2023-04-24,2023-03-31,3711,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/tsla-20230331.htm,DE,CA,1231,1318605_10Q_2023_0000950170-23-013890.htm
1318605,"Tesla, Inc.",8-K,2023-04-03,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-005126.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-005126-index.html,2023-04-03,2023-04-02,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459023005126/tsla-8k_20230402.htm,DE,CA,1231,1318605_8K_2023_0001564590-23-005126.htm
1318605,"Tesla, Inc.",8-K,2023-04-05,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-005462.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-005462-index.html,2023-04-05,2023-03-30,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459023005462/tsla-8k_20230330.htm,DE,CA,1231,1318605_8K_2023_0001564590-23-005462.htm
1318605,"Tesla, Inc.",8-K,2023-04-19,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-005959.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-005959-index.html,2023-04-19,2023-04-19,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459023005959/tsla-8k_20230419.htm,DE,CA,1231,1318605_8K_2023_0001564590-23-005959.htm
1318605,"Tesla, Inc.",8-K,2023-05-22,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-007379.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-23-007379-index.html,2023-05-22,2023-05-16,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459023007379/tsla-8k_20230516.htm,DE,CA,1231,1318605_8K_2023_0001564590-23-007379.htm
1318605,"Tesla, Inc.",10-Q,2023-07-24,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-033872.txt,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-033872-index.html,2023-07-24,2023-06-30,3711,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/tsla-20230630.htm,DE,CA,1231,1318605_10Q_2023_0000950170-23-033872.htm
1318605,"Tesla, Inc.",8-K,2023-07-03,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-031241.txt,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-031241-index.html,2023-07-03,2023-07-02,3711,https://www.sec.gov/Archives/edgar/data/1318605/000095017023031241/tsla-20230702.htm,DE,CA,1231,1318605_8K_2023_0000950170-23-031241.htm
1318605,"Tesla, Inc.",8-K,2023-07-19,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-033544.txt,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-033544-index.html,2023-07-19,2023-07-19,3711,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033544/tsla-20230719.htm,DE,CA,1231,1318605_8K_2023_0000950170-23-033544.htm
1318605,"Tesla, Inc.",8-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-033695.txt,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-033695-index.html,2023-07-20,2023-07-19,3711,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033695/tsla-20230719.htm,DE,CA,1231,1318605_8K_2023_0000950170-23-033695.htm
1318605,"Tesla, Inc.",8-K,2023-08-07,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-038779.txt,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-038779-index.html,2023-08-07,2023-08-04,3711,https://www.sec.gov/Archives/edgar/data/1318605/000095017023038779/tsla-20230804.htm,DE,CA,1231,1318605_8K_2023_0000950170-23-038779.htm
1318605,"Tesla, Inc.",10-Q,2023-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-23-034847.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-23-034847-index.html,2023-10-23,2023-09-30,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/tsla-20230930.htm,DE,CA,1231,1318605_10Q_2023_0001628280-23-034847.htm
1318605,"Tesla, Inc.",8-K,2023-10-02,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-050938.txt,https://www.sec.gov/Archives/edgar/data/1318605/0000950170-23-050938-index.html,2023-10-02,2023-10-02,3711,https://www.sec.gov/Archives/edgar/data/1318605/000095017023050938/tsla-20231002.htm,DE,CA,1231,1318605_8K_2023_0000950170-23-050938.htm
1318605,"Tesla, Inc.",8-K,2023-10-18,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-23-034588.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-23-034588-index.html,2023-10-18,2023-10-18,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034588/tsla-20231018.htm,DE,CA,1231,1318605_8K_2023_0001628280-23-034588.htm
