CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
789019,MICROSOFT CORP,8-K,2020-03-13,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-073072.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-073072-index.html,2020-03-13,2020-03-13,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520073072/d884867d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-073072.htm
789019,MICROSOFT CORP,8-K,2020-03-31,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-091746.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-091746-index.html,2020-03-31,2020-03-28,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520091746/d909204d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-091746.htm
789019,MICROSOFT CORP,10-Q,2020-04-29,https://www.sec.gov/Archives/edgar/data/789019/0001564590-20-019706.txt,https://www.sec.gov/Archives/edgar/data/789019/0001564590-20-019706-index.html,2020-04-29,2020-03-31,7372,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/msft-10q_20200331.htm,WA,WA,0630,789019_10Q_2020_0001564590-20-019706.htm
789019,MICROSOFT CORP,8-K,2020-04-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-126089.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-126089-index.html,2020-04-29,2020-04-29,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520126089/d844377d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-126089.htm
789019,MICROSOFT CORP,8-K,2020-04-30,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-128779.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-128779-index.html,2020-04-30,2020-04-30,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520128779/d924162d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-128779.htm
789019,MICROSOFT CORP,8-K,2020-05-14,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-142890.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-142890-index.html,2020-05-14,2020-05-14,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520142890/d911580d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-142890.htm
789019,MICROSOFT CORP,8-K,2020-06-01,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-157234.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-157234-index.html,2020-06-01,2020-05-29,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520157234/d829164d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-157234.htm
789019,MICROSOFT CORP,8-K,2020-06-26,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-180036.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-180036-index.html,2020-06-26,2020-06-26,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520180036/d854075d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-180036.htm
789019,MICROSOFT CORP,10-K,2020-07-30,https://www.sec.gov/Archives/edgar/data/789019/0001564590-20-034944.txt,https://www.sec.gov/Archives/edgar/data/789019/0001564590-20-034944-index.html,2020-07-30,2020-06-30,7372,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,WA,WA,0630,789019_10K_2020_0001564590-20-034944.htm
789019,MICROSOFT CORP,8-K,2020-07-01,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-184744.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-184744-index.html,2020-07-01,2020-07-01,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520184744/d949734d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-184744.htm
789019,MICROSOFT CORP,8-K,2020-07-07,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-188481.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-188481-index.html,2020-07-07,2020-07-01,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520188481/d88910d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-188481.htm
789019,MICROSOFT CORP,8-K,2020-07-22,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-197109.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-197109-index.html,2020-07-22,2020-07-22,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520197109/d941281d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-197109.htm
789019,MICROSOFT CORP,8-K,2020-08-03,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-207517.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-20-207517-index.html,2020-08-03,2020-08-02,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312520207517/d49621d8k.htm,WA,WA,0630,789019_8K_2020_0001193125-20-207517.htm
